date,Vaccinations
2021/4/12,419
2021/4/13,176
2021/4/14,507
2021/4/15,829
2021/4/16,1732
2021/4/17,1507
2021/4/18,621
2021/4/19,3641
2021/4/20,5477
2021/4/21,6922
2021/4/22,6680
2021/4/23,7147
2021/4/24,4343
2021/4/25,1839
2021/4/26,5867
2021/4/27,7102
2021/4/28,9040
2021/4/29,2122
2021/4/30,6504
2021/5/1,4593
2021/5/2,3029
2021/5/3,1169
2021/5/4,1185
2021/5/5,1608
2021/5/6,5322
2021/5/7,5476
2021/5/8,5748
2021/5/9,14368
2021/5/10,11988
2021/5/11,15943
2021/5/12,23450
2021/5/13,23532
2021/5/14,21942
2021/5/15,24251
2021/5/16,30732
2021/5/17,24485
2021/5/18,32131
2021/5/19,42047
2021/5/20,37996
2021/5/21,35553
2021/5/22,41439
2021/5/23,53479
2021/5/24,44411
2021/5/25,51001
2021/5/26,61381
2021/5/27,60361
2021/5/28,56304
2021/5/29,62125
2021/5/30,70195
2021/5/31,58543
2021/6/1,76092
2021/6/2,86198
2021/6/3,77483
2021/6/4,76500
2021/6/5,79854
2021/6/6,91292
2021/6/7,73823
2021/6/8,88520
2021/6/9,96510
2021/6/10,92636
2021/6/11,93467
2021/6/12,94281
2021/6/13,102725
2021/6/14,93738
2021/6/15,106415
2021/6/16,111944
2021/6/17,109950
2021/6/18,111606
2021/6/19,113344
2021/6/20,117599
2021/6/21,124785
2021/6/22,147369
2021/6/23,153214
2021/6/24,141127
2021/6/25,149245
2021/6/26,140640
2021/6/27,141012
2021/6/28,154980
2021/6/29,172785
2021/6/30,185498
2021/7/1,165593
2021/7/2,173926
2021/7/3,151423
2021/7/4,105793
2021/7/5,188334
2021/7/6,206407
2021/7/7,205234
2021/7/8,199130
2021/7/9,211282
2021/7/10,190164
2021/7/11,161988
2021/7/12,175526
2021/7/13,190921
2021/7/14,193002
2021/7/15,186430
2021/7/16,198742
2021/7/17,177269
2021/7/18,156622
2021/7/19,164295
2021/7/20,195220
2021/7/21,206209
2021/7/22,102062
2021/7/23,88313
2021/7/24,166529
2021/7/25,136753
2021/7/26,200052
2021/7/27,205387
2021/7/28,211557
2021/7/29,210805
2021/7/30,228292
2021/7/31,186265
2021/8/1,147124
2021/8/2,194160
2021/8/3,205083
2021/8/4,207058
2021/8/5,204860
2021/8/6,211357
2021/8/7,178271
2021/8/8,145530
2021/8/9,73645
2021/8/10,179659
2021/8/11,176322
2021/8/12,146962
2021/8/13,138127
2021/8/14,138085
2021/8/15,137581
2021/8/16,147686
2021/8/17,161296
2021/8/18,167456
2021/8/19,159378
2021/8/20,170050
2021/8/21,159526
2021/8/22,143167
2021/8/23,147195
2021/8/24,156179
2021/8/25,161354
2021/8/26,144473
2021/8/27,158465
2021/8/28,152607
2021/8/29,132764
2021/8/30,104666
2021/8/31,139166
2021/9/1,136561
2021/9/2,120465
2021/9/3,139309
2021/9/4,135831
2021/9/5,124781
2021/9/6,115574
2021/9/7,125527
2021/9/8,128000
2021/9/9,121878
2021/9/10,134178
2021/9/11,139183
2021/9/12,119718
2021/9/13,100267
2021/9/14,113813
2021/9/15,119267
2021/9/16,116047
2021/9/17,128600
2021/9/18,129053
2021/9/19,113546
2021/9/20,42046
2021/9/21,113166
2021/9/22,119520
2021/9/23,62121
2021/9/24,123591
2021/9/25,127010
2021/9/26,100026
2021/9/27,92117
2021/9/28,97872
2021/9/29,101282
2021/9/30,102833
2021/10/1,96609
2021/10/2,99494
2021/10/3,76600
2021/10/4,74091
2021/10/5,77912
2021/10/6,79134
2021/10/7,76825
2021/10/8,91801
2021/10/9,91588
2021/10/10,71202
2021/10/11,43812
2021/10/12,59477
2021/10/13,53411
2021/10/14,53269
2021/10/15,73588
2021/10/16,76040
2021/10/17,57663
2021/10/18,43068
2021/10/19,45845
2021/10/20,47491
2021/10/21,50301
2021/10/22,54926
2021/10/23,67488
2021/10/24,50750
2021/10/25,34785
2021/10/26,35973
2021/10/27,39577
2021/10/28,37585
2021/10/29,43262
2021/10/30,53975
2021/10/31,40075
2021/11/1,25380
2021/11/2,24136
2021/11/3,13089
2021/11/4,26317
2021/11/5,30697
2021/11/6,34850
2021/11/7,21688
2021/11/8,16807
2021/11/9,18375
2021/11/10,19180
2021/11/11,16651
2021/11/12,23974
2021/11/13,23345
2021/11/14,16120
2021/11/15,12085
2021/11/16,11990
2021/11/17,13704
2021/11/18,13614
2021/11/19,18191
2021/11/20,22648
2021/11/21,13677
2021/11/22,8306
2021/11/23,3455
2021/11/24,7925
2021/11/25,8065
2021/11/26,13141
2021/11/27,16083
2021/11/28,9814
2021/11/29,6168
2021/11/30,6455
2021/12/1,4394
2021/12/2,4560
2021/12/3,8368
2021/12/4,9009
2021/12/5,4274
2021/12/6,4607
2021/12/7,4611
2021/12/8,4235
2021/12/9,5462
2021/12/10,9480
2021/12/11,7728
2021/12/12,4065
2021/12/13,5625
2021/12/14,5322
